Mirror-M1-vertical-adjuster-points_r1-1 ,,,,,,,,,,
Original half of reflector ,,,,,,Mirror adjuster ,,,,
Panel ,Adjuster ,x ,y ,z ,,Panel2,Adjuster2,X2,Y2,Z2
11851,V4 ,2252.46537,220.00315,-2428.65645,,11851,V4 ,<-- ,,
11851,V5 ,2032.4154,0,-2547.31505,,11851,V5 ,<-- ,,
,,,,,,,,,,
11921,V1 ,2463.23544,1793.69899,-2287.41242,,11981,V1 ,2456.90827,-2233.50675,-2275.79938
11921,V2 ,2456.90827,2233.50675,-2275.79938,,11981,V2 ,2463.23544,-1793.69899,-2287.41242
11921,V3 ,2902.18308,1793.69208,-2047.97437,,11981,V3 ,2895.94256,-2233.50435,-2036.52183
11921,V4 ,2895.94256,2233.50435,-2036.52183,,11981,V4 ,2902.18308,-1793.69208,-2047.97437
11921,V5 ,2679.89288,2013.62107,-2162.52357,,11981,V5 ,2679.89288,-2013.62107,-2162.52357
,,,,,,,,,,
11931,V1 ,2469.77384,1122.44288,-2300.64416,,11971,V1 ,2465.50412,-1562.35914,-2292.81762
11931,V2 ,2465.50412,1562.35914,-2292.81762,,11971,V2 ,2469.77384,-1122.44288,-2300.64416
11931,V3 ,2908.62501,1122.43976,-2061.02965,,11971,V3 ,2904.41401,-1562.35777,-2053.31176
11931,V4 ,2904.41401,1562.35777,-2053.31176,,11971,V4 ,2908.62501,-1122.43976,-2061.02965
11931,V5 ,2687.41224,1342.41404,-2177.56048,,11971,V5 ,2687.41224,-1342.41404,-2177.56048
,,,,,,,,,,
11941,V1 ,2473.29347,451.20826,-2307.85402,,11961,V1 ,2471.14316,-891.19183,-2303.91587
11941,V2 ,2471.14316,891.19183,-2303.91587,,11961,V2 ,2473.29347,-451.20826,-2307.85402
11941,V3 ,2912.09204,451.20752,-2068.14366,,11961,V3 ,2909.97137,-891.19125,-2064.26033
11941,V4 ,2909.97137,891.19125,-2064.26033,,11961,V4 ,2912.09204,-451.20752,-2068.14366
11941,V5 ,2691.96234,671.20693,-2186.66079,,11961,V5 ,2691.96234,-671.20693,-2186.66079
,,,,,,,,,,
11951,V1 ,,,--> ,,11951,V1 ,2473.75059,-220.00307,-2308.94963
11951,V2 ,2473.75059,220.00307,-2308.94963,,11951,V2 ,<-- ,,
11951,V3 ,,,--> ,,11951,V3 ,2912.54136,-220.00298,-2069.2256
11951,V4 ,2912.54136,220.00298,-2069.2256,,11951,V4 ,<-- ,,
11951,V5 ,2693.48469,0,-2189.70747,,11951,V5 ,<-- ,,
